clock_period_ns,clock_cycles_per_block,block_size_bits,total_cell_area,static_power_mw,dynamic_power_mw,total_power_mw,throughput_gbps,energy_per_bit_pj,worst_slack_ns,status
3.7,240,1088,43675.10134,0.2917309,4.3922,4.6839309,1.22522523,3.82291418,0,OK
3.6,240,1088,43633.37013,0.283251,4.5283,4.811551,1.25925926,3.82093756,0,OK
3.5,240,1088,43634.05054,0.2822097,4.6222,4.9044097,1.2952381,3.78649277,0,OK
3.4,240,1088,43629.06093,0.2875536,4.7906,5.0781536,1.33333333,3.80861521,0,OK
3.3,240,1088,43639.04014,0.2890448,4.9157,5.2047448,1.37373737,3.78874806,0,OK
3.2,240,1088,43633.14334,0.29793,5.1379,5.43583,1.41666667,3.83705646,0.02,OK
3.1,240,1088,43635.41133,0.3058754,5.3175,5.6233754,1.46236559,3.84539642,0.01,OK
3,240,1088,43650.38014,0.3032164,5.475,5.7782164,1.51111111,3.82381968,0,OK
2.9,240,1088,43639.26694,0.2965416,5.6109,5.9074416,1.56321839,3.77902514,0,OK
2.8,240,1088,43639.26694,0.2913956,5.8289,6.1202956,1.61904762,3.78018257,0,OK
2.7,240,1088,43634.05053,0.3027067,6.0407,6.3434067,1.67901235,3.77805839,0,OK
2.6,240,1088,43612.95814,0.2920843,6.2641,6.5561843,1.74358974,3.76016453,0,OK
2.5,240,1088,43654.68933,0.306025,6.5014,6.807425,1.81333333,3.75409468,0,OK
2.4,240,1088,43621.57654,0.3135287,6.8687,7.1822287,1.88888889,3.80235637,0,OK
2.3,240,1088,43635.18454,0.311255,7.1664,7.477655,1.97101449,3.79381026,0,OK
2.2,240,1088,43621.80334,0.3283785,7.5484,7.8767785,2.06060606,3.82255427,0,OK
2.1,240,1088,45223.01136,0.3147327,7.9079,8.2226327,2.15873016,3.80901367,0,OK
2,240,1088,45198.06336,0.3219865,8.3469,8.6688865,2.26666667,3.82450874,0,OK
1.9,240,1088,45465.68733,0.3285237,8.8382,9.1667237,2.38596491,3.84193567,0,OK
1.8,240,1088,45577.72654,0.3295738,9.2592,9.5887738,2.51851852,3.80730724,0,OK
1.7,240,1088,45382.45175,0.3346953,9.8925,10.2271953,2.66666667,3.83519823,0,OK
1.6,240,1088,45382.67855,0.3386382,10.5122,10.8508382,2.83333333,3.8297076,0,OK
1.5,240,1088,45371.79215,0.3421391,11.2399,11.5820391,3.02222222,3.83229235,0,OK
1.4,240,1088,45426.22415,0.3445597,11.991,12.3355597,3.23809524,3.80951108,0,OK
1.3,240,1088,45369.52414,0.347812,13.1662,13.514012,3.48717949,3.87534167,0,OK
1.2,240,1088,45466.36772,0.3438635,14.1181,14.4619635,3.77777778,3.82816681,0,OK
1.1,240,1088,45712.6725,0.3731231,15.834,16.2071231,4.12121212,3.93261075,0,OK
